comercio_id,mcc,mcc_nombre,mcc_segmento,region,tipo_persona,tenure_meses,fecha_alta
M000068,5411,Supermercados,retail,Pichincha,PERSONA_JURIDICA,33,2023-07-01
M000069,4722,Agencias de viaje,servicios,Guayas,PERSONA_NATURAL,8,2025-08-01
M000070,5691,Tiendas de ropa,retail,El Oro,PERSONA_NATURAL,16,2024-12-01
M000071,7011,Hoteles,servicios,Guayas,PERSONA_NATURAL,4,2025-12-01
M000072,7995,Apuestas,alto_riesgo,Pichincha,PERSONA_NATURAL,31,2023-09-01
M000073,5691,Tiendas de ropa,retail,El Oro,PERSONA_NATURAL,9,2025-07-01
M000074,5411,Supermercados,retail,Guayas,PERSONA_NATURAL,36,2023-04-01
M000075,5691,Tiendas de ropa,retail,Guayas,PERSONA_NATURAL,37,2023-03-01
M000076,5732,Electrónica,retail,Esmeraldas,PERSONA_NATURAL,17,2024-11-01
M000077,5815,Bienes digitales,alto_riesgo,Pichincha,PERSONA_NATURAL,16,2024-12-01
M000078,8062,Servicios médicos,servicios,Guayas,PERSONA_NATURAL,5,2025-11-01
M000079,5813,Bares y clubs,alto_riesgo,Pichincha,PERSONA_NATURAL,19,2024-09-01
M000080,5815,Bienes digitales,alto_riesgo,Guayas,PERSONA_NATURAL,32,2023-08-01
M000081,7011,Hoteles,servicios,Pichincha,PERSONA_NATURAL,23,2024-05-01
M000082,7995,Apuestas,alto_riesgo,Manabí,PERSONA_JURIDICA,46,2022-06-01
M000083,5999,Retail general,retail,Pichincha,PERSONA_NATURAL,14,2025-02-01
M000084,5411,Supermercados,retail,Manabí,PERSONA_NATURAL,14,2025-02-01
M000085,5812,Restaurantes,retail,Pichincha,PERSONA_JURIDICA,9,2025-07-01
M000086,5813,Bares y clubs,alto_riesgo,Guayas,PERSONA_NATURAL,65,2020-11-01
M000087,4722,Agencias de viaje,servicios,Guayas,PERSONA_NATURAL,5,2025-11-01
M000088,5999,Retail general,retail,Manabí,PERSONA_NATURAL,31,2023-09-01
M000089,8062,Servicios médicos,servicios,Guayas,PERSONA_NATURAL,33,2023-07-01
M000090,5999,Retail general,retail,Guayas,PERSONA_NATURAL,32,2023-08-01
M000091,5815,Bienes digitales,alto_riesgo,El Oro,PERSONA_JURIDICA,10,2025-06-01
M000092,4722,Agencias de viaje,servicios,Guayas,PERSONA_JURIDICA,17,2024-11-01
M000093,7011,Hoteles,servicios,Pichincha,PERSONA_NATURAL,28,2023-12-01
M000094,5732,Electrónica,retail,Imbabura,PERSONA_NATURAL,12,2025-04-01
M000095,7230,Peluquerías y estética,servicios,Guayas,PERSONA_NATURAL,15,2025-01-01
M000096,7011,Hoteles,servicios,Pichincha,PERSONA_NATURAL,12,2025-04-01
M000097,5812,Restaurantes,retail,Guayas,PERSONA_NATURAL,20,2024-08-01
M000098,5812,Restaurantes,retail,Pichincha,PERSONA_JURIDICA,19,2024-09-01
M000099,5541,Estaciones de servicio,utility,Pichincha,PERSONA_JURIDICA,51,2022-01-01
M000100,4900,Servicios básicos,utility,Manabí,PERSONA_NATURAL,28,2023-12-01
M000101,5815,Bienes digitales,alto_riesgo,Pichincha,PERSONA_NATURAL,6,2025-10-01
M000102,5691,Tiendas de ropa,retail,Loja,PERSONA_NATURAL,7,2025-09-01
M000103,5541,Estaciones de servicio,utility,Chimborazo,PERSONA_NATURAL,31,2023-09-01
M000104,5813,Bares y clubs,alto_riesgo,Azuay,PERSONA_JURIDICA,19,2024-09-01
M000105,5813,Bares y clubs,alto_riesgo,Manabí,PERSONA_NATURAL,63,2021-01-01
M000106,4722,Agencias de viaje,servicios,Manabí,PERSONA_JURIDICA,63,2021-01-01
M000107,5691,Tiendas de ropa,retail,Esmeraldas,PERSONA_JURIDICA,9,2025-07-01
M000108,5812,Restaurantes,retail,Guayas,PERSONA_JURIDICA,24,2024-04-01
M000109,4900,Servicios básicos,utility,Pichincha,PERSONA_NATURAL,7,2025-09-01
M000110,4722,Agencias de viaje,servicios,Guayas,PERSONA_NATURAL,31,2023-09-01
M000111,5999,Retail general,retail,Guayas,PERSONA_JURIDICA,55,2021-09-01
M000112,5732,Electrónica,retail,Pichincha,PERSONA_JURIDICA,21,2024-07-01
M000113,7230,Peluquerías y estética,servicios,Azuay,PERSONA_NATURAL,14,2025-02-01
M000114,5999,Retail general,retail,Pichincha,PERSONA_JURIDICA,25,2024-03-01
M000115,7995,Apuestas,alto_riesgo,Imbabura,PERSONA_NATURAL,35,2023-05-01
M000116,5813,Bares y clubs,alto_riesgo,Pichincha,PERSONA_NATURAL,35,2023-05-01
M000117,5813,Bares y clubs,alto_riesgo,Pichincha,PERSONA_JURIDICA,14,2025-02-01
M000118,4722,Agencias de viaje,servicios,Pichincha,PERSONA_NATURAL,12,2025-04-01
M000119,7230,Peluquerías y estética,servicios,Pichincha,PERSONA_NATURAL,23,2024-05-01
M000120,7230,Peluquerías y estética,servicios,Pichincha,PERSONA_JURIDICA,15,2025-01-01
M000121,5815,Bienes digitales,alto_riesgo,Pichincha,PERSONA_JURIDICA,42,2022-10-01
M000122,5812,Restaurantes,retail,Pichincha,PERSONA_JURIDICA,15,2025-01-01
M000123,7011,Hoteles,servicios,Pichincha,PERSONA_NATURAL,20,2024-08-01
M000124,5411,Supermercados,retail,Guayas,PERSONA_JURIDICA,25,2024-03-01
M000125,4722,Agencias de viaje,servicios,Guayas,PERSONA_NATURAL,5,2025-11-01
M000126,5732,Electrónica,retail,Guayas,PERSONA_NATURAL,12,2025-04-01
M000127,5999,Retail general,retail,Guayas,PERSONA_NATURAL,61,2021-03-01
M000128,5812,Restaurantes,retail,Pichincha,PERSONA_JURIDICA,34,2023-06-01
M000129,7230,Peluquerías y estética,servicios,Pichincha,PERSONA_JURIDICA,15,2025-01-01
M000130,5999,Retail general,retail,Pichincha,PERSONA_JURIDICA,31,2023-09-01
M000131,4900,Servicios básicos,utility,Tungurahua,PERSONA_NATURAL,42,2022-10-01
M000132,7230,Peluquerías y estética,servicios,Esmeraldas,PERSONA_NATURAL,16,2024-12-01
M000133,5732,Electrónica,retail,Imbabura,PERSONA_NATURAL,33,2023-07-01
M000134,7230,Peluquerías y estética,servicios,Guayas,PERSONA_NATURAL,30,2023-10-01
M000135,5411,Supermercados,retail,Guayas,PERSONA_NATURAL,7,2025-09-01
M000136,5541,Estaciones de servicio,utility,Guayas,PERSONA_NATURAL,16,2024-12-01
M000137,4722,Agencias de viaje,servicios,Tungurahua,PERSONA_JURIDICA,52,2021-12-01
M000138,5813,Bares y clubs,alto_riesgo,Tungurahua,PERSONA_JURIDICA,60,2021-04-01
M000139,5812,Restaurantes,retail,El Oro,PERSONA_JURIDICA,34,2023-06-01
M000140,4722,Agencias de viaje,servicios,Imbabura,PERSONA_NATURAL,12,2025-04-01
M000141,4722,Agencias de viaje,servicios,Guayas,PERSONA_NATURAL,2,2026-02-01
M000142,5541,Estaciones de servicio,utility,Tungurahua,PERSONA_NATURAL,11,2025-05-01
M000143,7230,Peluquerías y estética,servicios,Loja,PERSONA_NATURAL,6,2025-10-01
M000144,4722,Agencias de viaje,servicios,Guayas,PERSONA_NATURAL,54,2021-10-01
M000145,5691,Tiendas de ropa,retail,Imbabura,PERSONA_NATURAL,3,2026-01-01
M000146,5732,Electrónica,retail,Pichincha,PERSONA_NATURAL,7,2025-09-01
M000147,8062,Servicios médicos,servicios,Esmeraldas,PERSONA_JURIDICA,22,2024-06-01
M000148,4722,Agencias de viaje,servicios,Tungurahua,PERSONA_NATURAL,19,2024-09-01
M000149,5411,Supermercados,retail,Pichincha,PERSONA_NATURAL,50,2022-02-01
M000150,7995,Apuestas,alto_riesgo,Azuay,PERSONA_NATURAL,29,2023-11-01
M000151,4900,Servicios básicos,utility,Pichincha,PERSONA_NATURAL,17,2024-11-01
M000152,5812,Restaurantes,retail,Tungurahua,PERSONA_NATURAL,43,2022-09-01
M000153,8062,Servicios médicos,servicios,Tungurahua,PERSONA_NATURAL,14,2025-02-01
M000154,5812,Restaurantes,retail,Azuay,PERSONA_NATURAL,53,2021-11-01
M000155,5815,Bienes digitales,alto_riesgo,El Oro,PERSONA_NATURAL,10,2025-06-01
M000156,5691,Tiendas de ropa,retail,Pichincha,PERSONA_JURIDICA,19,2024-09-01
M000157,5815,Bienes digitales,alto_riesgo,Pichincha,PERSONA_NATURAL,2,2026-02-01
M000158,5813,Bares y clubs,alto_riesgo,Guayas,PERSONA_NATURAL,36,2023-04-01
M000159,5813,Bares y clubs,alto_riesgo,Pichincha,PERSONA_NATURAL,21,2024-07-01
M000160,5812,Restaurantes,retail,Guayas,PERSONA_NATURAL,53,2021-11-01
M000161,4900,Servicios básicos,utility,Pichincha,PERSONA_NATURAL,16,2024-12-01
M000162,5691,Tiendas de ropa,retail,Guayas,PERSONA_JURIDICA,5,2025-11-01
M000163,5411,Supermercados,retail,Guayas,PERSONA_NATURAL,26,2024-02-01
M000164,8062,Servicios médicos,servicios,El Oro,PERSONA_NATURAL,13,2025-03-01
M000165,7011,Hoteles,servicios,Pichincha,PERSONA_NATURAL,32,2023-08-01
M000166,7995,Apuestas,alto_riesgo,Imbabura,PERSONA_NATURAL,10,2025-06-01
M000167,7995,Apuestas,alto_riesgo,Guayas,PERSONA_NATURAL,47,2022-05-01
M000168,5732,Electrónica,retail,Guayas,PERSONA_NATURAL,20,2024-08-01
M000169,5541,Estaciones de servicio,utility,Guayas,PERSONA_NATURAL,17,2024-11-01
M000170,5732,Electrónica,retail,Guayas,PERSONA_JURIDICA,45,2022-07-01
M000171,8062,Servicios médicos,servicios,Pichincha,PERSONA_JURIDICA,36,2023-04-01
M000172,5691,Tiendas de ropa,retail,Guayas,PERSONA_JURIDICA,11,2025-05-01
M000173,5541,Estaciones de servicio,utility,Pichincha,PERSONA_NATURAL,35,2023-05-01
M000174,5999,Retail general,retail,Guayas,PERSONA_JURIDICA,31,2023-09-01
M000175,5411,Supermercados,retail,Guayas,PERSONA_NATURAL,18,2024-10-01
M000176,4722,Agencias de viaje,servicios,Guayas,PERSONA_NATURAL,33,2023-07-01
M000177,5541,Estaciones de servicio,utility,Loja,PERSONA_JURIDICA,47,2022-05-01
M000178,4900,Servicios básicos,utility,Pichincha,PERSONA_NATURAL,18,2024-10-01
M000179,5813,Bares y clubs,alto_riesgo,Chimborazo,PERSONA_JURIDICA,18,2024-10-01
M000180,4900,Servicios básicos,utility,Tungurahua,PERSONA_JURIDICA,18,2024-10-01
M000181,4900,Servicios básicos,utility,Chimborazo,PERSONA_NATURAL,10,2025-06-01
M000182,8062,Servicios médicos,servicios,Loja,PERSONA_JURIDICA,18,2024-10-01
M000183,5732,Electrónica,retail,Pichincha,PERSONA_NATURAL,17,2024-11-01
M000184,5813,Bares y clubs,alto_riesgo,Guayas,PERSONA_JURIDICA,16,2024-12-01
M000185,5815,Bienes digitales,alto_riesgo,Pichincha,PERSONA_JURIDICA,16,2024-12-01
M000186,7011,Hoteles,servicios,Loja,PERSONA_NATURAL,7,2025-09-01
M000187,5812,Restaurantes,retail,Azuay,PERSONA_NATURAL,38,2023-02-01
M000188,5813,Bares y clubs,alto_riesgo,Pichincha,PERSONA_NATURAL,12,2025-04-01
M000189,5691,Tiendas de ropa,retail,Imbabura,PERSONA_NATURAL,48,2022-04-01
M000190,5541,Estaciones de servicio,utility,Pichincha,PERSONA_NATURAL,9,2025-07-01
M000191,5691,Tiendas de ropa,retail,Guayas,PERSONA_JURIDICA,56,2021-08-01
M000192,5812,Restaurantes,retail,Manabí,PERSONA_NATURAL,15,2025-01-01
M000193,7995,Apuestas,alto_riesgo,Pichincha,PERSONA_JURIDICA,36,2023-04-01
M000194,5999,Retail general,retail,Azuay,PERSONA_NATURAL,21,2024-07-01
M000195,5999,Retail general,retail,Loja,PERSONA_NATURAL,6,2025-10-01
M000196,7230,Peluquerías y estética,servicios,Pichincha,PERSONA_NATURAL,7,2025-09-01
M000197,4900,Servicios básicos,utility,Guayas,PERSONA_JURIDICA,11,2025-05-01
M000198,5999,Retail general,retail,Pichincha,PERSONA_NATURAL,14,2025-02-01
M000199,5732,Electrónica,retail,Azuay,PERSONA_NATURAL,19,2024-09-01
M000200,5813,Bares y clubs,alto_riesgo,Pichincha,PERSONA_NATURAL,25,2024-03-01
M000201,5541,Estaciones de servicio,utility,Chimborazo,PERSONA_JURIDICA,17,2024-11-01
M000202,8062,Servicios médicos,servicios,Imbabura,PERSONA_NATURAL,24,2024-04-01
M000203,5999,Retail general,retail,Pichincha,PERSONA_NATURAL,27,2024-01-01
M000204,5411,Supermercados,retail,Guayas,PERSONA_JURIDICA,17,2024-11-01
M000205,5691,Tiendas de ropa,retail,Azuay,PERSONA_JURIDICA,30,2023-10-01
M000206,5812,Restaurantes,retail,Manabí,PERSONA_NATURAL,35,2023-05-01
M000207,5815,Bienes digitales,alto_riesgo,Guayas,PERSONA_NATURAL,27,2024-01-01
M000208,5812,Restaurantes,retail,Pichincha,PERSONA_NATURAL,28,2023-12-01
M000209,8062,Servicios médicos,servicios,Pichincha,PERSONA_NATURAL,22,2024-06-01
M000210,5815,Bienes digitales,alto_riesgo,Esmeraldas,PERSONA_JURIDICA,41,2022-11-01
M000211,7230,Peluquerías y estética,servicios,Guayas,PERSONA_NATURAL,19,2024-09-01
M000212,5999,Retail general,retail,El Oro,PERSONA_NATURAL,12,2025-04-01
M000213,7995,Apuestas,alto_riesgo,Guayas,PERSONA_NATURAL,20,2024-08-01
M000214,5813,Bares y clubs,alto_riesgo,Imbabura,PERSONA_NATURAL,6,2025-10-01
M000215,5813,Bares y clubs,alto_riesgo,Pichincha,PERSONA_NATURAL,6,2025-10-01
M000216,5812,Restaurantes,retail,Pichincha,PERSONA_NATURAL,35,2023-05-01
M000217,5812,Restaurantes,retail,Imbabura,PERSONA_NATURAL,49,2022-03-01
M000218,4900,Servicios básicos,utility,Chimborazo,PERSONA_JURIDICA,15,2025-01-01
M000219,7011,Hoteles,servicios,Guayas,PERSONA_JURIDICA,35,2023-05-01
M000220,5732,Electrónica,retail,Guayas,PERSONA_NATURAL,3,2026-01-01
M000221,4722,Agencias de viaje,servicios,Guayas,PERSONA_NATURAL,27,2024-01-01
M000222,5815,Bienes digitales,alto_riesgo,Guayas,PERSONA_NATURAL,19,2024-09-01
M000223,5541,Estaciones de servicio,utility,Pichincha,PERSONA_NATURAL,54,2021-10-01
M000224,5732,Electrónica,retail,Imbabura,PERSONA_NATURAL,17,2024-11-01
M000225,4900,Servicios básicos,utility,Pichincha,PERSONA_JURIDICA,8,2025-08-01
M000226,5411,Supermercados,retail,Manabí,PERSONA_NATURAL,5,2025-11-01
M000227,8062,Servicios médicos,servicios,Pichincha,PERSONA_NATURAL,20,2024-08-01
M000228,7230,Peluquerías y estética,servicios,Pichincha,PERSONA_NATURAL,22,2024-06-01
M000229,5812,Restaurantes,retail,Azuay,PERSONA_NATURAL,17,2024-11-01
M000230,5812,Restaurantes,retail,Guayas,PERSONA_JURIDICA,36,2023-04-01
M000231,7011,Hoteles,servicios,Azuay,PERSONA_NATURAL,46,2022-06-01
M000232,5541,Estaciones de servicio,utility,Pichincha,PERSONA_JURIDICA,15,2025-01-01
M000233,7230,Peluquerías y estética,servicios,Chimborazo,PERSONA_JURIDICA,4,2025-12-01
M000234,5541,Estaciones de servicio,utility,Manabí,PERSONA_NATURAL,24,2024-04-01
M000235,7995,Apuestas,alto_riesgo,El Oro,PERSONA_NATURAL,41,2022-11-01
M000236,4722,Agencias de viaje,servicios,Pichincha,PERSONA_NATURAL,15,2025-01-01
M000237,5813,Bares y clubs,alto_riesgo,Guayas,PERSONA_JURIDICA,28,2023-12-01
M000238,5411,Supermercados,retail,Guayas,PERSONA_NATURAL,8,2025-08-01
M000239,5812,Restaurantes,retail,Guayas,PERSONA_NATURAL,23,2024-05-01
M000240,7995,Apuestas,alto_riesgo,Guayas,PERSONA_JURIDICA,28,2023-12-01
M000241,7995,Apuestas,alto_riesgo,Pichincha,PERSONA_JURIDICA,24,2024-04-01
M000242,5691,Tiendas de ropa,retail,Guayas,PERSONA_NATURAL,63,2021-01-01
M000243,8062,Servicios médicos,servicios,Pichincha,PERSONA_NATURAL,49,2022-03-01
M000244,7230,Peluquerías y estética,servicios,Guayas,PERSONA_JURIDICA,32,2023-08-01
M000245,4900,Servicios básicos,utility,Pichincha,PERSONA_NATURAL,39,2023-01-01
M000246,7230,Peluquerías y estética,servicios,Pichincha,PERSONA_JURIDICA,23,2024-05-01
M000247,7011,Hoteles,servicios,Azuay,PERSONA_NATURAL,19,2024-09-01
M000248,7011,Hoteles,servicios,Guayas,PERSONA_NATURAL,14,2025-02-01
M000249,7011,Hoteles,servicios,Guayas,PERSONA_JURIDICA,8,2025-08-01
M000250,5815,Bienes digitales,alto_riesgo,Guayas,PERSONA_NATURAL,50,2022-02-01
M000251,4900,Servicios básicos,utility,Tungurahua,PERSONA_NATURAL,65,2020-11-01
M000252,4722,Agencias de viaje,servicios,Guayas,PERSONA_NATURAL,20,2024-08-01
M000253,5691,Tiendas de ropa,retail,Azuay,PERSONA_NATURAL,20,2024-08-01
M000254,5691,Tiendas de ropa,retail,Chimborazo,PERSONA_JURIDICA,29,2023-11-01
M000255,5813,Bares y clubs,alto_riesgo,Guayas,PERSONA_NATURAL,17,2024-11-01
M000256,7995,Apuestas,alto_riesgo,Imbabura,PERSONA_NATURAL,8,2025-08-01
M000257,5812,Restaurantes,retail,Tungurahua,PERSONA_NATURAL,6,2025-10-01
M000258,5411,Supermercados,retail,Pichincha,PERSONA_JURIDICA,63,2021-01-01
M000259,7230,Peluquerías y estética,servicios,Guayas,PERSONA_NATURAL,4,2025-12-01
M000260,5999,Retail general,retail,Manabí,PERSONA_JURIDICA,25,2024-03-01
M000261,7995,Apuestas,alto_riesgo,Esmeraldas,PERSONA_JURIDICA,5,2025-11-01
M000262,5732,Electrónica,retail,Guayas,PERSONA_NATURAL,18,2024-10-01
M000263,5999,Retail general,retail,Pichincha,PERSONA_JURIDICA,15,2025-01-01
M000264,4900,Servicios básicos,utility,Guayas,PERSONA_JURIDICA,6,2025-10-01
M000265,5999,Retail general,retail,Pichincha,PERSONA_NATURAL,30,2023-10-01
M000266,5691,Tiendas de ropa,retail,Tungurahua,PERSONA_NATURAL,8,2025-08-01
M000267,5999,Retail general,retail,Guayas,PERSONA_JURIDICA,5,2025-11-01
M000268,5812,Restaurantes,retail,Manabí,PERSONA_JURIDICA,32,2023-08-01
M000269,5411,Supermercados,retail,El Oro,PERSONA_JURIDICA,15,2025-01-01
M000270,5411,Supermercados,retail,Azuay,PERSONA_JURIDICA,11,2025-05-01
M000271,5999,Retail general,retail,Azuay,PERSONA_NATURAL,33,2023-07-01
M000272,5411,Supermercados,retail,Tungurahua,PERSONA_JURIDICA,8,2025-08-01
M000273,7230,Peluquerías y estética,servicios,El Oro,PERSONA_JURIDICA,4,2025-12-01
M000274,5815,Bienes digitales,alto_riesgo,El Oro,PERSONA_NATURAL,44,2022-08-01
M000275,7011,Hoteles,servicios,Pichincha,PERSONA_NATURAL,58,2021-06-01
M000276,5732,Electrónica,retail,Guayas,PERSONA_NATURAL,18,2024-10-01
M000277,8062,Servicios médicos,servicios,Pichincha,PERSONA_JURIDICA,1,2026-03-01
M000278,4900,Servicios básicos,utility,El Oro,PERSONA_NATURAL,18,2024-10-01
M000279,7995,Apuestas,alto_riesgo,Azuay,PERSONA_JURIDICA,35,2023-05-01
M000280,5411,Supermercados,retail,Guayas,PERSONA_NATURAL,41,2022-11-01
M000281,5999,Retail general,retail,Pichincha,PERSONA_NATURAL,8,2025-08-01
M000282,5691,Tiendas de ropa,retail,Guayas,PERSONA_NATURAL,16,2024-12-01
M000283,5691,Tiendas de ropa,retail,Manabí,PERSONA_NATURAL,23,2024-05-01
M000284,8062,Servicios médicos,servicios,Pichincha,PERSONA_JURIDICA,33,2023-07-01
M000285,7011,Hoteles,servicios,Pichincha,PERSONA_NATURAL,31,2023-09-01
M000286,5411,Supermercados,retail,El Oro,PERSONA_JURIDICA,28,2023-12-01
M000287,7011,Hoteles,servicios,Tungurahua,PERSONA_NATURAL,41,2022-11-01
M000288,8062,Servicios médicos,servicios,Pichincha,PERSONA_JURIDICA,19,2024-09-01
M000289,5812,Restaurantes,retail,Guayas,PERSONA_NATURAL,50,2022-02-01
M000290,7995,Apuestas,alto_riesgo,Esmeraldas,PERSONA_NATURAL,13,2025-03-01
M000291,5411,Supermercados,retail,Manabí,PERSONA_NATURAL,31,2023-09-01
M000292,4900,Servicios básicos,utility,Azuay,PERSONA_NATURAL,14,2025-02-01
M000293,5812,Restaurantes,retail,Guayas,PERSONA_NATURAL,18,2024-10-01
M000294,7995,Apuestas,alto_riesgo,Guayas,PERSONA_JURIDICA,20,2024-08-01
M000295,4900,Servicios básicos,utility,Pichincha,PERSONA_NATURAL,13,2025-03-01
M000296,5541,Estaciones de servicio,utility,Manabí,PERSONA_NATURAL,42,2022-10-01
M000297,7995,Apuestas,alto_riesgo,Pichincha,PERSONA_NATURAL,15,2025-01-01
M000298,5813,Bares y clubs,alto_riesgo,Pichincha,PERSONA_NATURAL,19,2024-09-01
M000299,7230,Peluquerías y estética,servicios,Manabí,PERSONA_JURIDICA,29,2023-11-01
M000300,5813,Bares y clubs,alto_riesgo,Chimborazo,PERSONA_NATURAL,81,2019-07-01
M000301,5812,Restaurantes,retail,Tungurahua,PERSONA_JURIDICA,30,2023-10-01
