comercio_id,fecha_corte,mes_idx,n_transacciones,volumen_total,ticket_promedio,n_chargebacks,n_rechazos,dias_desde_ult_tx,n_tickets_soporte,dias_resolucion_soporte,flag_pos_fisico,flag_ecommerce,n_integraciones_activas
M000002,2025-09-01,4,222,4458.46,20.08,0,12,3,0,0.0,0,1,1
M000002,2025-10-01,5,263,4430.1,16.84,0,7,2,0,0.0,1,1,1
M000002,2025-11-01,6,113,2106.34,18.64,0,5,9,1,3.58,1,0,0
M000002,2025-12-01,7,222,4635.34,20.88,0,12,2,0,0.0,1,0,3
M000002,2026-01-01,8,176,2453.03,13.94,0,8,0,0,0.0,1,1,0
M000002,2026-02-01,9,183,3181.9,17.39,0,6,2,1,14.9,1,1,1
M000002,2026-03-01,10,221,4715.62,21.34,1,12,0,1,4.6,1,1,3
M000003,2025-05-01,0,257,5538.49,21.55,1,17,2,0,0.0,1,0,0
M000003,2025-06-01,1,207,3087.17,14.91,0,16,1,0,0.0,1,0,0
M000003,2025-07-01,2,201,4072.78,20.26,1,21,0,0,0.0,1,0,1
M000003,2025-08-01,3,132,2532.13,19.18,0,12,0,0,0.0,1,1,4
M000003,2025-09-01,4,337,5982.13,17.75,1,34,2,2,0.71,1,1,6
M000003,2025-10-01,5,145,2740.19,18.9,1,12,0,0,0.0,1,0,1
M000003,2025-11-01,6,192,4105.01,21.38,3,13,4,1,6.22,1,1,1
M000003,2025-12-01,7,190,4709.08,24.78,1,19,1,1,4.13,1,0,1
M000003,2026-01-01,8,212,3697.09,17.44,1,24,3,0,0.0,1,1,2
M000003,2026-02-01,9,217,4347.45,20.03,0,19,2,0,0.0,1,0,0
M000003,2026-03-01,10,253,4163.91,16.46,2,20,14,1,5.47,1,1,2
M000004,2025-05-01,0,130,1071.83,8.24,1,7,8,2,1.87,1,0,1
M000004,2025-06-01,1,155,768.25,4.96,0,14,8,0,0.0,1,0,1
M000004,2025-07-01,2,147,838.72,5.71,1,6,5,1,5.14,1,0,1
M000004,2025-08-01,3,156,1223.91,7.85,1,6,0,0,0.0,1,1,0
M000004,2025-09-01,4,112,791.02,7.06,0,3,1,0,0.0,1,0,3
M000004,2025-10-01,5,124,1136.83,9.17,1,10,1,1,2.62,0,1,2
M000004,2025-11-01,6,68,307.9,4.53,0,4,1,1,3.98,1,0,4
M000004,2025-12-01,7,76,555.95,7.32,0,6,0,0,0.0,1,0,2
M000004,2026-01-01,8,108,906.63,8.39,1,9,1,0,0.0,1,0,1
M000004,2026-02-01,9,30,190.91,6.36,0,4,0,1,1.21,1,1,1
M000004,2026-03-01,10,56,347.05,6.2,0,7,11,1,2.4,1,0,2
M000005,2025-05-01,0,629,10028.08,15.94,1,25,3,1,6.76,1,1,2
M000005,2025-06-01,1,183,2399.66,13.11,0,13,1,1,3.88,1,1,1
M000005,2025-07-01,2,335,5142.53,15.35,0,19,3,1,3.35,0,1,3
M000005,2025-08-01,3,218,2034.36,9.33,0,11,20,0,0.0,1,1,1
M000005,2025-09-01,4,539,5818.64,10.8,1,24,0,2,2.17,0,1,3
M000005,2025-10-01,5,512,6201.24,12.11,0,19,6,0,0.0,1,0,1
M000005,2025-11-01,6,310,4517.19,14.57,1,12,2,1,3.57,0,1,1
M000005,2025-12-01,7,414,5519.42,13.33,0,14,1,0,0.0,1,0,3
M000005,2026-01-01,8,564,8998.86,15.96,1,21,0,0,0.0,1,0,1
M000005,2026-02-01,9,321,5866.87,18.28,0,9,0,0,0.0,1,0,3
M000005,2026-03-01,10,214,3614.19,16.89,1,14,0,0,0.0,1,0,1
M000006,2025-05-01,0,51,2369.72,46.47,0,3,1,1,3.43,1,0,0
M000006,2025-06-01,1,89,3351.83,37.66,1,7,3,1,3.59,0,1,2
M000006,2025-07-01,2,89,3460.89,38.89,0,11,0,1,2.82,1,1,1
M000006,2025-08-01,3,140,6299.49,45.0,0,4,2,2,2.73,1,0,1
M000006,2025-09-01,4,109,3578.9,32.83,0,9,3,0,0.0,1,1,2
M000006,2025-10-01,5,120,3185.39,26.54,1,10,2,1,2.32,1,0,0
M000006,2025-11-01,6,119,5869.09,49.32,1,8,0,4,0.66,1,0,0
M000006,2025-12-01,7,84,2983.74,35.52,0,5,3,1,3.23,0,1,3
M000006,2026-01-01,8,97,3806.57,39.24,0,8,0,1,3.44,1,0,0
M000006,2026-02-01,9,43,1595.73,37.11,1,2,0,0,0.0,1,1,3
M000006,2026-03-01,10,114,3644.68,31.97,0,7,4,4,4.49,1,1,2
M000007,2025-05-01,0,260,8641.18,33.24,1,29,0,2,0.32,0,1,1
M000007,2025-06-01,1,324,8002.8,24.7,4,25,4,1,2.86,1,0,2
M000007,2025-07-01,2,480,16476.64,34.33,5,38,1,3,2.78,1,0,2
M000007,2025-08-01,3,244,8408.19,34.46,1,23,0,2,5.25,0,1,0
M000007,2025-09-01,4,297,8360.23,28.15,1,30,4,4,3.37,1,0,1
M000007,2025-10-01,5,198,8137.02,41.1,1,23,0,1,2.48,1,0,1
M000007,2025-11-01,6,420,9088.07,21.64,0,30,2,0,0.0,1,0,1
M000007,2025-12-01,7,136,3385.83,24.9,0,12,0,0,0.0,0,1,3
M000007,2026-01-01,8,275,8110.68,29.49,2,20,5,2,2.57,1,1,2
M000007,2026-02-01,9,191,4491.97,23.52,3,17,0,2,2.13,1,0,2
M000007,2026-03-01,10,268,8244.63,30.76,2,16,1,2,2.75,1,1,2
M000008,2025-05-01,0,80,916.53,11.46,1,3,1,1,5.12,1,0,2
M000008,2025-06-01,1,90,975.28,10.84,0,3,0,2,3.32,1,0,2
M000008,2025-07-01,2,120,965.3,8.04,0,5,0,0,0.0,1,0,1
M000008,2025-08-01,3,164,1575.1,9.6,0,9,0,0,0.0,1,0,1
M000008,2025-09-01,4,121,1032.45,8.53,1,9,3,1,6.22,1,0,0
M000008,2025-10-01,5,78,879.91,11.28,0,4,0,1,1.13,1,1,0
M000008,2025-11-01,6,130,1326.67,10.21,0,7,2,1,7.09,1,0,0
M000008,2025-12-01,7,146,1461.63,10.01,2,10,1,1,1.87,1,1,0
M000008,2026-01-01,8,106,992.07,9.36,1,7,1,0,0.0,0,1,1
M000008,2026-02-01,9,96,709.61,7.39,1,11,1,0,0.0,1,0,1
M000008,2026-03-01,10,97,1280.59,13.2,0,5,2,0,0.0,1,0,1
M000009,2025-05-01,0,305,8551.27,28.04,1,29,0,0,0.0,1,0,3
M000009,2025-06-01,1,472,21598.39,45.76,5,23,0,2,1.65,1,0,1
M000009,2025-07-01,2,436,19771.08,45.35,6,44,6,1,10.08,1,0,1
M000009,2025-08-01,3,208,4700.83,22.6,1,9,6,1,6.94,0,1,1
M000009,2025-09-01,4,298,11171.66,37.49,1,25,2,0,0.0,1,0,2
M000009,2025-10-01,5,185,4948.43,26.75,0,14,0,0,0.0,1,0,1
M000009,2025-11-01,6,343,10433.7,30.42,2,20,4,1,7.6,1,1,2
M000009,2025-12-01,7,304,12250.41,40.3,2,23,2,1,3.62,0,1,2
M000009,2026-01-01,8,316,14297.4,45.24,1,20,3,2,1.73,1,0,2
M000009,2026-02-01,9,191,5894.99,30.86,1,16,3,1,4.55,1,1,6
M000009,2026-03-01,10,160,4101.76,25.64,1,16,1,2,2.41,1,0,0
M000010,2025-05-01,0,80,996.6,12.46,0,2,4,0,0.0,0,1,4
M000010,2025-06-01,1,133,2311.25,17.38,1,9,0,0,0.0,1,1,4
M000010,2025-07-01,2,54,872.21,16.15,0,7,1,1,1.34,1,1,4
M000010,2025-08-01,3,132,2222.07,16.83,0,9,2,0,0.0,1,0,1
M000010,2025-09-01,4,128,1698.2,13.27,0,9,2,3,7.81,1,0,0
M000010,2025-10-01,5,88,1374.05,15.61,1,4,4,2,2.28,1,0,1
M000010,2025-11-01,6,46,751.06,16.33,0,2,2,4,2.68,1,0,1
M000010,2025-12-01,7,59,887.54,15.04,0,4,5,0,0.0,0,1,1
M000010,2026-01-01,8,76,1340.07,17.63,0,2,5,0,0.0,0,1,2
M000010,2026-02-01,9,51,623.95,12.23,1,3,1,0,0.0,0,1,3
M000010,2026-03-01,10,52,731.23,14.06,0,4,8,2,1.68,1,0,1
M000011,2025-05-01,0,182,5561.48,30.56,1,12,1,0,0.0,0,1,1
M000011,2025-06-01,1,198,6298.75,31.81,0,12,13,0,0.0,1,0,1
M000011,2025-07-01,2,213,6731.83,31.6,0,12,3,0,0.0,1,0,2
M000011,2025-08-01,3,113,3354.64,29.69,0,3,0,0,0.0,1,0,1
M000011,2025-09-01,4,275,8886.81,32.32,0,10,2,0,0.0,1,0,1
M000011,2025-10-01,5,172,4529.86,26.34,0,7,1,2,2.32,0,1,5
M000011,2025-11-01,6,125,2901.27,23.21,0,7,0,0,0.0,1,0,3
M000011,2025-12-01,7,118,2609.26,22.11,0,6,0,1,0.15,0,1,2
M000011,2026-01-01,8,171,6114.3,35.76,0,7,0,1,0.62,1,0,1
M000011,2026-02-01,9,115,3851.71,33.49,0,11,0,0,0.0,1,0,0
M000011,2026-03-01,10,157,5351.66,34.09,0,4,2,1,13.32,1,0,1
M000012,2025-05-01,0,39,1223.68,31.38,0,3,4,0,0.0,1,0,0
M000012,2025-06-01,1,34,732.47,21.54,0,3,10,1,4.93,0,1,3
M000012,2025-07-01,2,30,779.49,25.98,0,5,4,1,3.88,1,1,1
M000012,2025-08-01,3,45,1448.3,32.18,0,4,2,1,1.39,0,1,3
M000012,2025-09-01,4,14,347.84,24.85,0,2,0,3,3.46,1,0,0
M000012,2025-10-01,5,39,1196.37,30.68,0,3,3,1,2.45,1,0,2
M000012,2025-11-01,6,41,1143.62,27.89,0,1,3,0,0.0,1,0,1
M000012,2025-12-01,7,27,871.2,32.27,0,2,0,0,0.0,1,0,0
M000012,2026-01-01,8,23,492.48,21.41,0,1,8,1,4.26,1,0,1
M000012,2026-02-01,9,23,565.46,24.59,1,4,15,1,2.96,1,0,2
M000012,2026-03-01,10,21,523.79,24.94,0,2,19,1,2.39,1,1,0
M000013,2025-05-01,0,168,2710.58,16.13,2,13,2,1,5.31,1,0,1
M000013,2025-06-01,1,148,3097.81,20.93,2,14,2,2,13.66,1,0,2
M000013,2025-07-01,2,141,2164.1,15.35,4,17,1,1,3.07,1,0,0
M000013,2025-08-01,3,159,3161.68,19.88,1,9,0,3,4.56,1,1,1
M000013,2025-09-01,4,91,1307.15,14.36,0,8,5,2,15.61,1,0,0
M000013,2025-10-01,5,207,3371.5,16.29,7,16,9,1,1.41,1,0,0
M000013,2025-11-01,6,129,2537.83,19.67,1,8,3,1,2.61,1,0,4
M000013,2025-12-01,7,138,2000.52,14.5,1,7,5,2,3.13,1,0,3
M000013,2026-01-01,8,52,852.74,16.4,0,7,0,4,7.33,1,0,1
M000013,2026-02-01,9,101,1049.17,10.39,0,7,1,1,1.34,1,0,1
M000013,2026-03-01,10,163,2466.85,15.13,2,21,3,0,0.0,1,0,0
M000014,2025-05-01,0,228,6337.27,27.8,0,20,0,2,0.68,0,1,0
M000014,2025-06-01,1,267,7639.77,28.61,1,17,1,2,3.52,1,0,2
M000014,2025-07-01,2,49,1168.1,23.84,0,5,2,1,2.74,1,0,0
M000014,2025-08-01,3,84,1879.83,22.38,0,3,5,1,0.21,1,0,1
M000014,2025-09-01,4,167,3829.83,22.93,1,19,3,1,5.02,0,1,1
M000014,2025-10-01,5,341,6486.01,19.02,1,22,0,1,3.78,1,0,2
M000014,2025-11-01,6,187,3836.91,20.52,1,19,0,0,0.0,0,1,2
M000014,2025-12-01,7,120,2291.98,19.1,1,8,18,0,0.0,1,0,1
M000014,2026-01-01,8,188,4344.83,23.11,3,15,19,1,4.45,0,1,2
M000014,2026-02-01,9,174,3888.66,22.35,0,10,1,2,8.25,1,1,1
M000014,2026-03-01,10,59,991.19,16.8,0,6,4,0,0.0,1,0,0
M000015,2025-05-01,0,63,1790.58,28.42,0,4,3,0,0.0,1,0,0
M000015,2025-06-01,1,138,3567.15,25.85,0,8,2,1,1.07,0,1,1
M000015,2025-07-01,2,197,5472.32,27.78,1,14,0,0,0.0,1,0,1
M000015,2025-08-01,3,79,2664.94,33.73,0,3,0,1,2.85,1,1,0
M000015,2025-09-01,4,158,5778.6,36.57,1,12,3,2,2.96,1,1,2
M000015,2025-10-01,5,177,4684.83,26.47,0,13,0,0,0.0,1,1,3
M000015,2025-11-01,6,117,3117.3,26.64,2,7,0,1,3.01,1,0,0
M000015,2025-12-01,7,82,2739.75,33.41,0,6,0,1,4.53,0,1,1
M000015,2026-01-01,8,123,3110.17,25.29,3,10,1,0,0.0,1,1,2
M000015,2026-02-01,9,126,3296.06,26.16,0,10,9,1,4.78,1,0,2
M000015,2026-03-01,10,147,5795.29,39.42,0,10,0,0,0.0,1,0,2
M000016,2025-05-01,0,164,2385.56,14.55,1,7,6,2,3.58,1,0,0
M000016,2025-06-01,1,190,2755.64,14.5,0,7,10,1,1.54,1,1,2
M000016,2025-07-01,2,249,3563.77,14.31,2,12,0,0,0.0,1,1,2
M000016,2025-08-01,3,161,2096.21,13.02,1,13,2,0,0.0,0,1,2
M000016,2025-09-01,4,182,2734.53,15.02,0,5,4,0,0.0,1,0,2
M000016,2025-10-01,5,100,1239.83,12.4,0,5,5,0,0.0,0,1,2
M000016,2025-11-01,6,100,1744.0,17.44,1,5,15,0,0.0,1,1,2
M000016,2025-12-01,7,213,2646.35,12.42,0,7,3,0,0.0,1,0,0
M000016,2026-01-01,8,161,2671.91,16.6,0,7,0,0,0.0,1,1,2
M000016,2026-02-01,9,42,491.28,11.7,0,3,13,0,0.0,1,0,3
M000016,2026-03-01,10,223,2645.22,11.86,0,11,1,0,0.0,1,0,1
M000017,2025-05-01,0,77,1149.69,14.93,1,4,1,2,1.66,1,1,2
M000017,2025-06-01,1,50,710.23,14.2,0,8,2,0,0.0,1,0,2
M000017,2025-07-01,2,57,556.59,9.76,0,4,2,0,0.0,1,0,2
M000017,2025-08-01,3,53,915.56,17.27,0,3,0,1,1.6,1,1,3
M000017,2025-09-01,4,104,1888.7,18.16,0,7,0,1,2.57,1,1,4
M000017,2025-10-01,5,51,788.49,15.46,0,4,11,1,0.66,1,1,0
M000017,2025-11-01,6,75,822.44,10.97,0,4,1,3,1.04,1,1,3
M000017,2025-12-01,7,83,1470.22,17.71,0,7,6,0,0.0,1,1,2
M000017,2026-01-01,8,54,874.44,16.19,0,2,8,0,0.0,1,0,2
M000017,2026-02-01,9,63,742.29,11.78,0,2,0,3,2.0,1,0,0
M000017,2026-03-01,10,67,1059.12,15.81,0,1,1,0,0.0,1,0,2
M000018,2025-05-01,0,230,5706.9,24.81,2,21,1,0,0.0,0,1,1
M000018,2025-06-01,1,156,4357.2,27.93,1,10,6,3,6.5,1,0,1
M000018,2025-07-01,2,187,4630.09,24.76,0,16,12,0,0.0,1,0,1
M000018,2025-08-01,3,141,3595.14,25.5,1,18,0,0,0.0,1,1,0
M000018,2025-09-01,4,202,6475.58,32.06,0,18,1,0,0.0,1,0,1
M000018,2025-10-01,5,193,7290.03,37.77,3,13,0,1,6.82,1,0,1
M000018,2025-11-01,6,231,9714.14,42.05,2,22,6,1,2.85,1,0,1
M000018,2025-12-01,7,237,7622.73,32.16,2,18,0,2,2.82,1,0,2
M000018,2026-01-01,8,209,6265.22,29.98,5,17,2,2,2.11,1,1,2
M000018,2026-02-01,9,129,3853.85,29.87,4,6,7,0,0.0,1,1,1
M000018,2026-03-01,10,67,2257.14,33.69,0,5,1,1,1.19,1,0,0
M000019,2025-05-01,0,110,4639.25,42.18,0,7,0,0,0.0,1,0,0
M000019,2025-06-01,1,44,1630.76,37.06,0,5,0,1,2.46,0,1,3
M000019,2025-07-01,2,133,6631.79,49.86,1,8,0,0,0.0,1,0,2
M000019,2025-08-01,3,174,4977.6,28.61,0,7,4,1,1.34,1,1,1
M000019,2025-09-01,4,100,2673.81,26.74,1,4,0,0,0.0,1,1,2
M000019,2025-10-01,5,102,4129.55,40.49,0,10,4,0,0.0,0,1,0
M000019,2025-11-01,6,163,4615.06,28.31,0,7,3,0,0.0,1,0,1
M000019,2025-12-01,7,113,4637.76,41.04,0,9,0,0,0.0,1,0,0
M000019,2026-01-01,8,49,1808.3,36.9,0,4,23,6,5.61,1,1,2
M000019,2026-02-01,9,95,3575.46,37.64,0,12,4,1,1.38,1,1,2
M000019,2026-03-01,10,67,2758.46,41.17,0,3,2,0,0.0,1,0,1
M000020,2025-05-01,0,41,1883.98,45.95,0,4,7,1,4.14,1,0,4
M000020,2025-06-01,1,95,3906.61,41.12,1,7,0,0,0.0,1,1,0
M000020,2025-07-01,2,87,3062.77,35.2,0,7,0,1,1.35,1,0,0
M000020,2025-08-01,3,51,2290.48,44.91,1,3,3,2,5.03,1,1,2
M000020,2025-09-01,4,32,752.13,23.5,0,3,4,1,5.56,0,1,2
M000020,2025-10-01,5,81,3491.05,43.1,0,5,2,2,2.5,1,1,3
M000020,2025-11-01,6,51,2153.62,42.23,0,2,3,0,0.0,1,0,1
M000020,2025-12-01,7,34,1447.63,42.58,1,2,1,1,1.01,1,1,1
M000020,2026-01-01,8,16,628.55,39.28,0,2,12,0,0.0,0,1,1
M000020,2026-02-01,9,60,2785.82,46.43,0,6,0,2,5.18,1,0,2
M000020,2026-03-01,10,59,2425.15,41.1,0,4,14,1,17.42,1,1,1
M000021,2025-05-01,0,109,1507.89,13.83,1,8,2,0,0.0,1,0,3
M000021,2025-06-01,1,119,1940.25,16.3,1,9,0,0,0.0,1,0,1
M000021,2025-07-01,2,70,1275.74,18.22,0,5,0,0,0.0,0,1,2
M000021,2025-08-01,3,111,1773.69,15.98,1,5,2,0,0.0,1,0,2
M000021,2025-09-01,4,52,588.84,11.32,0,2,4,0,0.0,1,1,0
M000021,2025-10-01,5,50,695.48,13.91,0,3,1,1,10.17,1,0,1
M000021,2025-11-01,6,71,1149.61,16.19,0,2,2,0,0.0,1,1,0
M000021,2025-12-01,7,76,1243.63,16.36,0,3,6,2,0.91,1,0,2
M000021,2026-01-01,8,111,1413.6,12.74,1,6,1,2,2.84,1,0,3
M000021,2026-02-01,9,70,771.75,11.02,0,3,0,1,4.71,1,0,1
M000021,2026-03-01,10,80,1095.38,13.69,0,3,6,1,2.26,1,0,1
M000022,2025-05-01,0,40,417.97,10.45,0,1,6,0,0.0,1,0,2
M000022,2025-06-01,1,102,1428.17,14.0,0,1,1,1,3.09,1,0,2
M000022,2025-07-01,2,110,1656.73,15.06,1,4,1,2,0.73,0,1,2
M000022,2025-08-01,3,112,1812.43,16.18,0,2,4,1,3.4,1,0,0
M000022,2025-09-01,4,146,2186.24,14.97,0,11,9,2,0.69,1,0,0
M000022,2025-10-01,5,111,1303.3,11.74,0,6,3,1,1.7,1,1,4
M000022,2025-11-01,6,96,1946.18,20.27,0,6,1,0,0.0,1,0,1
M000022,2025-12-01,7,47,734.37,15.62,0,2,0,0,0.0,1,0,0
M000022,2026-01-01,8,115,1325.19,11.52,1,8,4,0,0.0,1,1,1
M000022,2026-02-01,9,70,1111.78,15.88,1,1,6,0,0.0,1,1,3
M000022,2026-03-01,10,126,1718.03,13.64,1,6,0,2,4.56,1,1,2
M000023,2025-05-01,0,268,3881.83,14.48,0,14,0,1,3.04,1,1,0
M000023,2025-06-01,1,148,1564.5,10.57,0,3,1,0,0.0,1,1,0
M000023,2025-07-01,2,136,1819.28,13.38,0,7,2,0,0.0,1,1,2
M000023,2025-08-01,3,243,3234.86,13.31,0,6,0,0,0.0,1,0,2
M000023,2025-09-01,4,413,6317.13,15.3,1,15,0,4,4.05,1,0,2
M000023,2025-10-01,5,226,2418.09,10.7,0,10,1,0,0.0,1,0,1
M000023,2025-11-01,6,290,3697.48,12.75,0,13,5,0,0.0,1,0,1
M000023,2025-12-01,7,230,2787.87,12.12,0,10,1,1,1.69,0,1,0
M000023,2026-01-01,8,235,3479.09,14.8,1,8,2,1,3.0,1,1,3
M000023,2026-02-01,9,127,1916.39,15.09,0,6,3,0,0.0,1,0,3
M000023,2026-03-01,10,290,4779.02,16.48,1,18,4,0,0.0,1,0,0
M000024,2025-05-01,0,31,884.38,28.53,0,3,4,0,0.0,1,1,2
M000024,2025-06-01,1,54,1621.46,30.03,0,7,5,1,2.82,0,1,4
M000024,2025-07-01,2,66,1895.4,28.72,0,5,0,0,0.0,1,0,1
M000024,2025-08-01,3,56,1363.76,24.35,0,9,0,0,0.0,0,1,3
M000024,2025-09-01,4,98,3118.83,31.82,1,8,8,1,0.35,1,1,2
M000024,2025-10-01,5,70,1879.28,26.85,0,5,2,0,0.0,1,1,1
M000024,2025-11-01,6,61,1833.57,30.06,0,5,0,0,0.0,0,1,2
M000024,2025-12-01,7,83,2607.34,31.41,0,3,0,0,0.0,1,0,3
M000024,2026-01-01,8,54,1303.48,24.14,0,6,7,1,1.31,1,1,1
M000024,2026-02-01,9,105,3113.77,29.65,2,6,0,0,0.0,1,1,1
M000024,2026-03-01,10,60,1776.37,29.61,0,4,6,2,5.95,1,0,1
M000025,2025-05-01,0,83,1687.13,20.33,1,1,2,0,0.0,1,1,1
M000025,2025-06-01,1,38,647.05,17.03,0,0,3,0,0.0,1,1,1
M000025,2025-07-01,2,27,498.25,18.45,0,2,1,1,0.45,1,1,1
M000025,2025-08-01,3,69,1244.05,18.03,0,7,5,1,4.5,1,0,1
M000025,2025-09-01,4,34,597.87,17.58,0,0,4,1,4.06,1,0,0
M000025,2025-10-01,5,43,588.5,13.69,1,2,1,0,0.0,1,1,1
M000025,2025-11-01,6,55,854.23,15.53,0,7,3,1,10.13,1,0,1
M000025,2025-12-01,7,65,1312.25,20.19,0,2,2,0,0.0,1,1,0
M000025,2026-01-01,8,47,1001.59,21.31,0,3,0,0,0.0,1,0,1
M000025,2026-02-01,9,45,851.81,18.93,0,4,3,1,4.14,1,0,1
M000025,2026-03-01,10,52,889.63,17.11,0,3,6,0,0.0,1,0,0
M000026,2025-05-01,0,200,1516.85,7.58,2,8,5,1,6.72,1,0,0
M000026,2025-06-01,1,209,2593.98,12.41,3,11,1,1,2.49,1,1,4
M000026,2025-07-01,2,175,1631.46,9.32,0,8,16,1,8.84,1,1,2
M000026,2025-08-01,3,222,2332.03,10.5,1,16,5,0,0.0,1,0,1
M000026,2025-09-01,4,301,3724.1,12.37,0,20,1,3,0.46,0,1,5
M000026,2025-10-01,5,179,1928.18,10.77,0,15,2,1,0.35,1,0,0
M000026,2025-11-01,6,272,2384.04,8.76,2,18,1,2,9.15,1,1,2
M000026,2025-12-01,7,185,1471.77,7.96,0,10,3,1,6.54,0,1,3
M000026,2026-01-01,8,206,2081.51,10.1,0,17,0,4,0.79,1,1,2
M000026,2026-02-01,9,126,1005.17,7.98,0,11,5,2,3.5,1,1,1
M000026,2026-03-01,10,193,1685.56,8.73,0,13,7,1,2.38,1,1,4
M000027,2025-05-01,0,38,270.47,7.12,0,3,1,0,0.0,1,0,0
M000027,2025-06-01,1,76,276.2,3.63,0,3,0,1,9.35,1,0,0
M000027,2025-07-01,2,64,523.96,8.19,0,4,2,2,0.85,1,0,2
M000027,2025-08-01,3,48,246.74,5.14,0,2,4,0,0.0,1,1,2
M000027,2025-09-01,4,45,280.35,6.23,0,4,0,0,0.0,1,1,0
M000027,2025-10-01,5,55,338.3,6.15,0,2,0,0,0.0,0,1,1
M000027,2025-11-01,6,52,285.78,5.5,0,2,2,0,0.0,1,0,1
M000027,2025-12-01,7,70,232.38,3.32,0,3,4,1,1.53,1,1,4
M000027,2026-01-01,8,26,161.39,6.21,0,2,5,0,0.0,1,0,1
M000027,2026-02-01,9,42,264.15,6.29,0,2,2,0,0.0,1,0,0
M000027,2026-03-01,10,39,234.01,6.0,0,1,0,1,2.31,1,0,2
M000028,2025-05-01,0,84,2786.84,33.18,0,3,0,1,6.78,0,1,2
M000028,2025-06-01,1,124,4551.42,36.71,0,6,0,1,0.95,1,0,5
M000028,2025-07-01,2,103,4584.03,44.51,0,6,6,1,3.71,1,1,2
M000028,2025-08-01,3,116,4301.32,37.08,0,10,0,1,4.63,0,1,2
M000028,2025-09-01,4,89,3290.97,36.98,0,6,12,3,3.22,1,0,1
M000028,2025-10-01,5,144,4107.17,28.52,0,9,2,0,0.0,1,0,1
M000028,2025-11-01,6,59,2462.44,41.74,0,3,3,0,0.0,0,1,3
M000028,2025-12-01,7,107,3385.22,31.64,1,3,4,0,0.0,1,0,0
M000028,2026-01-01,8,88,3643.15,41.4,0,4,13,0,0.0,1,0,0
M000028,2026-02-01,9,37,1604.67,43.37,1,2,1,3,4.68,1,0,0
M000028,2026-03-01,10,76,2560.95,33.7,0,2,0,1,4.5,1,0,2
M000029,2025-05-01,0,86,1825.46,21.23,0,5,1,2,1.67,1,0,1
M000029,2025-06-01,1,84,1471.71,17.52,0,7,0,0,0.0,1,0,0
M000029,2025-07-01,2,135,4146.08,30.71,2,7,0,0,0.0,0,1,1
M000029,2025-08-01,3,72,1641.27,22.8,0,6,1,1,2.85,1,1,1
M000029,2025-09-01,4,145,3163.3,21.82,1,6,1,1,1.61,1,0,1
M000029,2025-10-01,5,73,1398.67,19.16,0,5,13,2,2.4,1,0,2
M000029,2025-11-01,6,62,1283.4,20.7,0,4,6,1,7.5,1,0,1
M000029,2025-12-01,7,117,1954.46,16.7,2,12,0,3,8.25,1,0,1
M000029,2026-01-01,8,95,1939.6,20.42,1,3,6,0,0.0,0,1,2
M000029,2026-02-01,9,100,2079.54,20.8,1,11,5,0,0.0,0,1,5
